Recommender type: SVDRecommender	Factorization Type: ALSWRFactorizer 	 Num Features type: 50	Lambda: 0.1	Num Of iteration: 20	Test Size: 0
--------------------------------------------
Total: 10000 	 Error Count: 2488 	 %Correct: 0.7512
Total: 20000 	 Error Count: 5107 	 %Correct: 0.74465
Total: 30000 	 Error Count: 7148 	 %Correct: 0.7617333333333334
Total: 40000 	 Error Count: 9990 	 %Correct: 0.75025
Total: 50000 	 Error Count: 12799 	 %Correct: 0.74402
Total: 60000 	 Error Count: 15367 	 %Correct: 0.7438833333333333
Total: 70000 	 Error Count: 17835 	 %Correct: 0.7452142857142857
Total: 80000 	 Error Count: 20667 	 %Correct: 0.7416625
Total: 90000 	 Error Count: 23496 	 %Correct: 0.7389333333333333
Total: 100000 	 Error Count: 26402 	 %Correct: 0.7359800000000001
Total: 110000 	 Error Count: 29205 	 %Correct: 0.7344999999999999
Total: 120000 	 Error Count: 32184 	 %Correct: 0.7318
Total: 130000 	 Error Count: 35017 	 %Correct: 0.7306384615384616
Total: 140000 	 Error Count: 38321 	 %Correct: 0.7262785714285714
Total: 150000 	 Error Count: 41354 	 %Correct: 0.7243066666666667
Total: 160000 	 Error Count: 44698 	 %Correct: 0.7206375
Total: 170000 	 Error Count: 47940 	 %Correct: 0.718
Total: 180000 	 Error Count: 50860 	 %Correct: 0.7174444444444444
Total: 190000 	 Error Count: 54192 	 %Correct: 0.7147789473684211
Total: 200000 	 Error Count: 57396 	 %Correct: 0.71302
Total: 210000 	 Error Count: 60266 	 %Correct: 0.7130190476190477
Total: 220000 	 Error Count: 63131 	 %Correct: 0.7130409090909091
Total: 230000 	 Error Count: 66098 	 %Correct: 0.7126173913043479
Total: 240000 	 Error Count: 69044 	 %Correct: 0.7123166666666667
Total: 250000 	 Error Count: 71933 	 %Correct: 0.712268
Total: 260000 	 Error Count: 74677 	 %Correct: 0.7127807692307693
Total: 270000 	 Error Count: 77845 	 %Correct: 0.7116851851851852
Total: 280000 	 Error Count: 80989 	 %Correct: 0.7107535714285714
Total: 290000 	 Error Count: 84014 	 %Correct: 0.710296551724138
Total: 300000 	 Error Count: 87292 	 %Correct: 0.7090266666666667
Total: 310000 	 Error Count: 90524 	 %Correct: 0.7079870967741935
Total: 320000 	 Error Count: 93465 	 %Correct: 0.707921875
Total: 330000 	 Error Count: 96571 	 %Correct: 0.7073606060606061
Total: 340000 	 Error Count: 99099 	 %Correct: 0.7085323529411764
Total: 350000 	 Error Count: 102114 	 %Correct: 0.7082457142857144
Total: 360000 	 Error Count: 104955 	 %Correct: 0.7084583333333334
Total: 370000 	 Error Count: 107593 	 %Correct: 0.7092081081081081
Total: 380000 	 Error Count: 110652 	 %Correct: 0.7088105263157894
Total: 390000 	 Error Count: 113464 	 %Correct: 0.7090666666666667
Total: 400000 	 Error Count: 116109 	 %Correct: 0.7097275000000001
Total: 410000 	 Error Count: 118967 	 %Correct: 0.7098365853658537
Total: 420000 	 Error Count: 121761 	 %Correct: 0.7100928571428571
Total: 430000 	 Error Count: 124556 	 %Correct: 0.7103348837209302
Total: 440000 	 Error Count: 127283 	 %Correct: 0.7107204545454546
Total: 450000 	 Error Count: 130268 	 %Correct: 0.7105155555555556
Total: 460000 	 Error Count: 133143 	 %Correct: 0.7105586956521739
Total: 470000 	 Error Count: 135961 	 %Correct: 0.7107212765957447
Total: 480000 	 Error Count: 138756 	 %Correct: 0.710925
Total: 490000 	 Error Count: 141698 	 %Correct: 0.7108204081632653
Total: 499019 	 Error Count: 144267 	 %Correct: 0.7108987834130565
--------------------------------------------
Recommender type: SVDRecommender	Factorization Type: ALSWRFactorizer 	 Num Features type: 75	Lambda: 0.1	Num Of iteration: 20	Test Size: 0
--------------------------------------------
Total: 10000 	 Error Count: 2486 	 %Correct: 0.7514000000000001
Total: 20000 	 Error Count: 5106 	 %Correct: 0.7446999999999999
Total: 30000 	 Error Count: 7140 	 %Correct: 0.762
Total: 40000 	 Error Count: 9941 	 %Correct: 0.751475
Total: 50000 	 Error Count: 12735 	 %Correct: 0.7453000000000001
Total: 60000 	 Error Count: 15292 	 %Correct: 0.7451333333333333
Total: 70000 	 Error Count: 17724 	 %Correct: 0.7468
Total: 80000 	 Error Count: 20554 	 %Correct: 0.7430749999999999
Total: 90000 	 Error Count: 23384 	 %Correct: 0.7401777777777778
Total: 100000 	 Error Count: 26327 	 %Correct: 0.73673
Total: 110000 	 Error Count: 29138 	 %Correct: 0.7351090909090909
Total: 120000 	 Error Count: 32109 	 %Correct: 0.732425
Total: 130000 	 Error Count: 34948 	 %Correct: 0.7311692307692308
Total: 140000 	 Error Count: 38249 	 %Correct: 0.7267928571428571
Total: 150000 	 Error Count: 41311 	 %Correct: 0.7245933333333333
Total: 160000 	 Error Count: 44690 	 %Correct: 0.7206874999999999
Total: 170000 	 Error Count: 47959 	 %Correct: 0.7178882352941176
Total: 180000 	 Error Count: 50871 	 %Correct: 0.7173833333333333
Total: 190000 	 Error Count: 54291 	 %Correct: 0.7142578947368421
Total: 200000 	 Error Count: 57487 	 %Correct: 0.712565
Total: 210000 	 Error Count: 60401 	 %Correct: 0.7123761904761905
Total: 220000 	 Error Count: 63237 	 %Correct: 0.7125590909090909
Total: 230000 	 Error Count: 66220 	 %Correct: 0.7120869565217391
Total: 240000 	 Error Count: 69192 	 %Correct: 0.7117
Total: 250000 	 Error Count: 72082 	 %Correct: 0.7116720000000001
Total: 260000 	 Error Count: 74867 	 %Correct: 0.7120500000000001
Total: 270000 	 Error Count: 78001 	 %Correct: 0.7111074074074074
Total: 280000 	 Error Count: 81185 	 %Correct: 0.7100535714285714
Total: 290000 	 Error Count: 84182 	 %Correct: 0.7097172413793104
Total: 300000 	 Error Count: 87463 	 %Correct: 0.7084566666666667
Total: 310000 	 Error Count: 90693 	 %Correct: 0.707441935483871
Total: 320000 	 Error Count: 93625 	 %Correct: 0.707421875
Total: 330000 	 Error Count: 96767 	 %Correct: 0.7067666666666667
Total: 340000 	 Error Count: 99322 	 %Correct: 0.7078764705882352
Total: 350000 	 Error Count: 102311 	 %Correct: 0.7076828571428572
Total: 360000 	 Error Count: 105189 	 %Correct: 0.7078083333333334
Total: 370000 	 Error Count: 107845 	 %Correct: 0.708527027027027
Total: 380000 	 Error Count: 110891 	 %Correct: 0.7081815789473684
Total: 390000 	 Error Count: 113700 	 %Correct: 0.7084615384615385
Total: 400000 	 Error Count: 116384 	 %Correct: 0.70904
Total: 410000 	 Error Count: 119250 	 %Correct: 0.7091463414634147
Total: 420000 	 Error Count: 122077 	 %Correct: 0.7093404761904762
Total: 430000 	 Error Count: 124847 	 %Correct: 0.7096581395348838
Total: 440000 	 Error Count: 127495 	 %Correct: 0.7102386363636364
Total: 450000 	 Error Count: 130423 	 %Correct: 0.7101711111111111
Total: 460000 	 Error Count: 133287 	 %Correct: 0.7102456521739131
Total: 470000 	 Error Count: 136079 	 %Correct: 0.7104702127659575
Total: 480000 	 Error Count: 138886 	 %Correct: 0.7106541666666666
Total: 490000 	 Error Count: 141815 	 %Correct: 0.7105816326530612
Total: 499019 	 Error Count: 144433 	 %Correct: 0.7105661307485286
--------------------------------------------
Recommender type: SVDRecommender	Factorization Type: ALSWRFactorizer 	 Num Features type: 50	Lambda: 0.2	Num Of iteration: 20	Test Size: 0
--------------------------------------------
Total: 10000 	 Error Count: 2591 	 %Correct: 0.7409
Total: 20000 	 Error Count: 5273 	 %Correct: 0.7363500000000001
Total: 30000 	 Error Count: 7410 	 %Correct: 0.753
Total: 40000 	 Error Count: 10361 	 %Correct: 0.7409749999999999
